repo_name,rouge-1-p,rouge-1-r,rouge-1-f,rouge-2-p,rouge-2-r,rouge-2-f,rouge-l-p,rouge-l-r,rouge-l-f,bert_precision,bert_recall,bert_f1
1rgs__nanocode,0.06442166910688141,0.35772357723577236,0.10918113885286536,0.010383386581469648,0.0755813953488372,0.0182584248423497,0.06442166910688141,0.35772357723577236,0.10918113885286536,0.8049758076667786,0.8137611150741577,0.8093445897102356
7723mod__NPatch,0.08520179372197309,0.24675324675324675,0.126666662850889,0.009768009768009768,0.042105263157894736,0.015857281383112543,0.08295964125560538,0.24025974025974026,0.1233333295175557,0.7997882962226868,0.7773754596710205,0.788422703742981
Action-State-Labs__android-action-kernel,0.22963800904977374,0.1518324607329843,0.18280053550516642,0.03785310734463277,0.027037933817594836,0.03154425125941695,0.21832579185520362,0.1443530291697831,0.17379558278116822,0.798793375492096,0.780490517616272,0.7895358204841614
Adversis__tailsnitch,0.2916666666666667,0.14987405541561713,0.1980033233026488,0.047752808988764044,0.024062278839348902,0.03199999554411246,0.27941176470588236,0.14357682619647355,0.18968385574857224,0.8410454988479614,0.8352670669555664,0.8381463289260864
aelassas__servy,0.2049062049062049,0.24067796610169492,0.22135619144687813,0.04043321299638989,0.05845511482254697,0.047801958460987705,0.19480519480519481,0.2288135593220339,0.21044426627150795,0.7780725955963135,0.7770462036132812,0.7775590419769287
aeromomo__claw-compactor,0.1678224687933426,0.2261682242990654,0.19267515434532093,0.02315963606286187,0.03418803418803419,0.027613407413708928,0.15811373092926492,0.2130841121495327,0.18152865753003433,0.8071541786193848,0.7949470281600952,0.8010041117668152
AgriciDaniel__claude-seo,0.22965641952983726,0.2504930966469428,0.23962263651885024,0.0724174653887114,0.08163265306122448,0.07674943068380635,0.2115732368896926,0.23076923076923078,0.22075471199054836,0.8377995491027832,0.8417719602584839,0.8397811055183411
alexknowshtml__smaug,0.2848605577689243,0.2558139534883721,0.2695570166920934,0.06412213740458016,0.06240713224368499,0.06325300704911174,0.27191235059760954,0.2441860465116279,0.2573044247976542,0.8326477408409119,0.8138304352760315,0.8231315612792969
amazon-far__holosoma,0.181640625,0.27596439169139464,0.21908126729724303,0.055378061767838126,0.09737827715355805,0.07060420447506609,0.171875,0.26112759643916916,0.2073027042819309,0.8348625898361206,0.8203961849212646,0.8275662064552307
AndroidCSOfficial__android-code-studio,0.13180169286577992,0.27525252525252525,0.17825020003634356,0.03012820512820513,0.07833333333333334,0.04351851450617321,0.12454655380894801,0.2601010101010101,0.1684382621786167,0.8012126088142395,0.7570757865905762,0.7785191535949707
anthropics__claude-code-security-review,0.2652388797364086,0.27710843373493976,0.271043766046166,0.058728881737731296,0.07541322314049587,0.06603346409589358,0.2487644151565074,0.25989672977624784,0.2542087492111491,0.8265488743782043,0.824381947517395,0.8254639506340027
anthropics__knowledge-work-plugins,0.1568409343715239,0.2883435582822086,0.20317002425471736,0.02032520325203252,0.044585987261146494,0.027921814605519256,0.1457174638487208,0.26789366053169733,0.1887608023527001,0.8137755393981934,0.8154054880142212,0.8145897388458252
antonmedv__gitmal,0.11089494163424124,0.36075949367088606,0.1696428535460956,0.02292576419213974,0.09722222222222222,0.03710247041016895,0.10700389105058365,0.34810126582278483,0.16369047259371464,0.8244634866714478,0.8104547262191772,0.8173990249633789
apple__ml-simplefold,0.22495274102079396,0.24536082474226803,0.23471399895418782,0.049255441008018326,0.05361596009975062,0.05134327859107377,0.21550094517958412,0.23505154639175257,0.22485206601533184,0.8050695061683655,0.8039129376411438,0.8044908046722412
autobrr__qui,0.10504201680672269,0.2516778523489933,0.1482213397183991,0.013523666416228399,0.044226044226044224,0.020713460164674114,0.10084033613445378,0.24161073825503357,0.1422924859634584,0.8290894627571106,0.8290515542030334,0.829070508480072
AutoForgeAI__autoforge,0.23940435280641467,0.2289156626506024,0.23404254819399747,0.05032563647128478,0.050029429075927015,0.05017709063168515,0.22107674684994272,0.21139101861993428,0.2161254149353189,0.8264641761779785,0.812170684337616,0.8192550539970398
badrisnarayanan__antigravity-claude-proxy,0.27565392354124746,0.20601503759398496,0.23580033933859373,0.040955631399317405,0.0316622691292876,0.03571428079617592,0.2595573440643863,0.19398496240601504,0.22203097617164017,0.8126974105834961,0.8100231885910034,0.8113580942153931
Basekick-Labs__arc,0.1626984126984127,0.16205533596837945,0.16237623262378212,0.020319303338171262,0.024096385542168676,0.02204723913064778,0.15343915343915343,0.152832674571805,0.15313530853137292,0.7967246770858765,0.7813108563423157,0.7889424562454224
BayramAnnakov__claude-reflect,0.2346311475409836,0.2570145903479237,0.24531333191448818,0.047867298578199054,0.06095353047676524,0.05362356820742738,0.22028688524590165,0.24130190796857465,0.2303160100076858,0.8175563812255859,0.7841227650642395,0.80049067735672
