repo_name,duration_seconds,total_tokens,prompt_tokens,completion_tokens
abhiemj__manim-mcp-server,73.0,42628,34097,8531
andrewmcwattersandco__git-fetch-file,125.82,60880,48896,11984
axon-rl__gem,96.64,60986,46541,14445
BUPT-GAMMA__PathRAG,162.15,91465,71396,20069
ByronLeeeee__Ollama-For-AMD-Installer,81.01,57857,46035,11822
christian-fei__my-yt,79.29,61428,48719,12709
CodeJawn__karakeep-homedash,76.25,45523,35965,9558
ennis-ma__ComfyUI-Workflow-Hub,248.95,109222,81393,27829
ErwindeGelder__matplot2tikz,79.92,48835,39276,9559
joshuayoes__ios-simulator-mcp,140.95,68055,55072,12983
karjok__deepterm,109.87,60099,50059,10040
opengeos__qgis-gee-data-catalogs-plugin,73.71,43453,34295,9158
paoloricciuti__tmcp,72.68,54119,42932,11187
pradt__homelab-visualiser,166.78,94206,77265,16941
runekaagaard__mcp-alchemy,130.21,63459,50602,12857
sanjeed5__awesome-cursor-rules-mdc,73.73,64214,55657,8557
shinpr__agentic-code,113.02,59662,48970,10692
specpulse__specpulse,78.68,45806,37144,8662
supunlakmal__spreadsheet,111.91,64700,51694,13006
yazdanhaider__Hospital-Management,110.58,55054,42976,12078
