repo_name,duration_seconds,total_tokens,prompt_tokens,completion_tokens
1rgs__nanocode,101.75,48880,39599,9281
7723mod__NPatch,75.0,43366,36073,7293
Action-State-Labs__android-action-kernel,89.38,53501,41927,11574
Adversis__tailsnitch,59.11,44901,37956,6945
aelassas__servy,75.28,49576,39791,9785
aeromomo__claw-compactor,67.79,43731,35423,8308
AgriciDaniel__claude-seo,119.34,70712,57731,12981
alexknowshtml__smaug,113.1,71063,56155,14908
amazon-far__holosoma,49.81,49448,41619,7829
AndroidCSOfficial__android-code-studio,65.67,52100,42315,9785
anthropics__claude-code-security-review,60.81,46826,38461,8365
anthropics__knowledge-work-plugins,119.45,68907,55409,13498
antonmedv__gitmal,86.89,51656,43161,8495
apple__ml-simplefold,53.43,47642,40415,7227
autobrr__qui,66.47,53602,44413,9189
AutoForgeAI__autoforge,109.99,52089,41097,10992
badrisnarayanan__antigravity-claude-proxy,63.61,50020,41553,8467
Basekick-Labs__arc,97.58,48407,39717,8690
BayramAnnakov__claude-reflect,120.31,56811,45191,11620
BIT-DataLab__Edit-Banana,66.97,41817,34537,7280
BrownFineSecurity__iothackbot,87.68,58940,46388,12552
ByteDance-Seed__seed-oss,70.81,58836,45822,13014
ChrisWiles__claude-code-showcase,79.36,69981,59799,10182
cisco-ai-defense__mcp-scanner,78.43,55761,44644,11117
cisco-ai-defense__skill-scanner,104.36,68122,54371,13751
CloudAI-X__claude-workflow-v2,91.89,68181,55614,12567
CodeGraphContext__CodeGraphContext,70.42,55016,43835,11181
ComposioHQ__awesome-claude-plugins,55.34,38790,32489,6301
ComposioHQ__awesome-claude-skills,72.6,78575,67956,10619
ComposioHQ__open-claude-cowork,78.43,53923,43310,10613
ComposioHQ__secure-openclaw,98.49,65353,53710,11643
covibes__zeroshot,101.87,81029,67537,13492
csswizardry__Obs.js,58.94,46989,38239,8750
cuga-project__cuga-agent,124.19,72125,55102,17023
czl9707__gh-space-shooter,53.72,50593,41972,8621
darrencxl0301__StageRAG,70.13,52300,42353,9947
datalab-to__chandra,79.9,61245,48357,12888
davidfowl__tally,64.28,50634,40785,9849
deepseek-ai__DeepSeek-V3.2-Exp,78.39,62192,48930,13262
dembrandt__dembrandt,64.13,51872,43245,8627
dexmal__dexbotic,63.02,57527,47489,10038
DFin__Neural-Network-Visualisation,54.05,47968,39989,7979
Dicklesworthstone__mcp_agent_mail,80.76,58664,46979,11685
dj-bolt__django-bolt,68.68,48438,38907,9531
dreamzero0__dreamzero,77.72,57865,45580,12285
ekwek1__soprano,58.13,42271,35111,7160
Enemyx-net__VibeVoice-ComfyUI,54.26,42367,34462,7905
EvolvingLMMs-Lab__LLaVA-OneVision-1.5,72.39,66472,52213,14259
expo__skills,83.41,54408,46502,7906
facebookresearch__cwm,76.81,57095,45319,11776
facebookresearch__map-anything,70.46,66623,54883,11740
facebookresearch__omnilingual-asr,66.8,55775,44962,10813
facebookresearch__sam-audio,63.73,53264,44378,8886
facebookresearch__ShapeR,56.71,56401,46459,9942
Facepunch__sbox-public,71.61,63098,52708,10390
fastschema__qjs,130.5,71926,56090,15836
francescopace__espectre,92.82,69258,55398,13860
gadievron__raptor,101.11,79934,66588,13346
galilai-group__lejepa,41.65,38979,33065,5914
Gaurav-Gosain__tuios,59.36,53523,43714,9809
gavrielc__Nano-PDF,63.16,55958,46089,9869
gensyn-ai__codeassist,68.62,58213,46133,12080
Gezine__Y2JB,52.13,45082,37883,7199
goodroot__hyprwhspr,82.6,49041,39824,9217
GreatStackDev__gocart,42.6,39384,33568,5816
gsd-build__get-shit-done,94.34,65446,50688,14758
Gururagavendra__gmail-cleaner,60.36,65119,53671,11448
GWUDCAP__cc-sessions,54.41,51629,42409,9220
haileyydev__maildrop,63.8,47369,38059,9310
Haleclipse__CodexDesktop-Rebuild,46.53,36227,31048,5179
HarryR__z80ai,108.02,69188,57076,12112
heyitsnoah__claudesidian,47.29,49133,41034,8099
hotheadhacker__seedbox-lite,68.97,58556,49387,9169
HybridRobotics__whole_body_tracking,71.46,48065,39358,8707
IAmTomShaw__f1-race-replay,63.79,46644,38254,8390
ichason__CPosed,110.6,80449,64995,15454
ihatecsv__deepseek-ocr-client,94.96,65844,54382,11462
jacob-bd__notebooklm-mcp-cli,241.85,58308,46674,11634
jarrodwatts__claude-code-config,91.13,58690,48692,9998
jarrodwatts__claude-hud,54.68,46205,38841,7364
jayin92__Skyfall-GS,74.97,50502,40021,10481
Jeffallan__claude-skills,71.63,56103,48428,7675
jenish-sojitra__JSAnalyzer,45.23,31602,26540,5062
jeremylongshore__claude-code-plugins-plus-skills,69.32,71811,62230,9581
JIA-Lab-research__DreamOmni2,111.21,69279,54159,15120
JMS1717__8mb.local,151.43,86754,69897,16857
jmuncor__tokentap,51.28,41358,35510,5848
Jon-Becker__prediction-market-analysis,56.46,57685,47569,10116
journiv__journiv-app,52.76,57276,47137,10139
K-Dense-AI__claude-scientific-skills,79.84,45606,38458,7148
K-Dense-AI__claude-scientific-writer,80.97,61841,51008,10833
kaifcodec__user-scanner,88.03,74888,63098,11790
kandinskylab__kandinsky-5,89.15,60469,48380,12089
karanhudia__borg-ui,89.97,78126,62731,15395
karpathy__nanochat,58.15,55774,46306,9468
karpathy__reader3,47.15,38086,32619,5467
kayba-ai__agentic-context-engine,59.94,58370,50202,8168
KKKKhazix__Khazix-Skills,80.06,44622,35720,8902
koosoli__ESPHomeDesigner,53.47,46992,37940,9052
lackeyjb__playwright-skill,73.81,56155,44097,12058
Listenarrs__Listenarr,64.1,50078,41587,8491
lokus-ai__lokus,65.87,64680,54482,10198
LoredCast__filewizard,70.77,44204,36048,8156
ludo-technologies__pyscn,74.34,49819,41808,8011
luongnv89__claude-howto,129.72,77630,62005,15625
lupantech__AgentFlow,82.54,62248,50913,11335
mallahyari__system-design-visualizer,84.28,56298,46148,10150
mandatoryprogrammer__thermoptic,76.43,45845,38515,7330
marcus__nightshift,123.65,70888,57674,13214
marcus__sidecar,109.67,65730,54423,11307
marvinvr__docktail,94.23,52657,43002,9655
Maxteabag__sqlit,120.66,79465,64324,15141
meituan-longcat__LongCat-Video,108.34,68472,53528,14944
MemMachine__MemMachine,57.65,50111,42455,7656
meta-pytorch__OpenEnv,57.05,47410,40881,6529
mickamy__sql-tap,79.95,49755,40061,9694
microsoft__fara,111.94,65975,51969,14006
MineDojo__NitroGen,107.09,50041,40117,9924
MiroMindAI__MiroThinker,66.89,52588,44434,8154
mistralai__mistral-vibe,71.21,47938,39764,8174
MoonshotAI__checkpoint-engine,75.76,55417,46599,8818
muratcankoylan__Agent-Skills-for-Context-Engineering,98.27,69521,57533,11988
muratcankoylan__ralph-wiggum-marketer,73.97,57073,46517,10556
mvanhorn__last30days-skill,74.48,54501,46374,8127
nari-labs__dia2,101.46,57285,44627,12658
nathan-barry__tiny-diffusion,86.99,53383,44805,8578
nextlevelbuilder__ui-ux-pro-max-skill,86.12,48901,39461,9440
nv-tlabs__vipe,89.02,54460,42668,11792
NVIDIA__personaplex,88.54,52882,43754,9128
NVIDIA__TileGym,71.28,50488,41440,9048
OpenBMB__VoxCPM,67.09,55823,45883,9940
OthmanAdi__planning-with-files,48.51,46129,38868,7261
oxylabs__google-ai-mode-scraper,76.63,41588,32636,8952
p-e-w__heretic,73.82,47895,37880,10015
panphora__overtype,48.65,40305,34513,5792
parcadei__Continuous-Claude-v3,156.19,102684,83531,19153
PatchMon__PatchMon,79.08,59395,49395,10000
PDFCraftTool__pdfcraft,60.42,50379,41311,9068
pguso__ai-agents-from-scratch,87.85,57916,46083,11833
