repo_name,rouge-1-p,rouge-1-r,rouge-1-f,rouge-2-p,rouge-2-r,rouge-2-f,rouge-l-p,rouge-l-r,rouge-l-f,bert_precision,bert_recall,bert_f1
facebookresearch__cwm,0.24324324324324326,0.3956043956043956,0.3012552254099194,0.07881773399014778,0.13008130081300814,0.09815950450355701,0.2195945945945946,0.35714285714285715,0.2719665224810491,0.8112854957580566,0.8426787257194519,0.8266841769218445
aeromomo__claw-compactor,0.12173913043478261,0.44485981308411215,0.19116465526064103,0.021668219944082013,0.11355311355311355,0.036392092789038356,0.11304347826086956,0.4130841121495327,0.17751003678674543,0.8037628531455994,0.7874571084976196,0.7955265045166016
XiaomiMiMo__MiMo-Audio,0.2236024844720497,0.3837953091684435,0.2825745636366382,0.06627822286962855,0.12871287128712872,0.08749999551261581,0.2124223602484472,0.3646055437100213,0.26844583522219545,0.8168021440505981,0.8083077073097229,0.8125327229499817
DFin__Neural-Network-Visualisation,0.24183006535947713,0.4966442953020134,0.3252747208700399,0.08014142604596347,0.20268256333830104,0.11486486080350992,0.23093681917211328,0.4742729306487696,0.3106227062180252,0.8523674011230469,0.844901442527771,0.8486179709434509
ChrisWiles__claude-code-showcase,0.3329596412556054,0.18679245283018867,0.23932312190631538,0.07875354107648726,0.04433811802232855,0.056734689268409376,0.3172645739910314,0.1779874213836478,0.2280418970876208,0.795730710029602,0.8244961500167847,0.8098580837249756
renzorlive__vimmaster,0.3205928237129485,0.2765814266487214,0.2969653129462332,0.07287128712871287,0.06218316998986144,0.06710429845947016,0.2870514820592824,0.24764468371467024,0.2658959487843835,0.8529341220855713,0.83503258228302,0.8438884019851685
ByteDance-Seed__seed-oss,0.17354196301564723,0.25902335456475584,0.20783645175403195,0.046556367833782225,0.07446153846153847,0.05729166193251917,0.16714082503556188,0.2494692144373673,0.20017035294653623,0.8096988201141357,0.7660171389579773,0.7872524857521057
toon-format__toon-python,0.11378002528445007,0.39473684210526316,0.17664376492668737,0.027579493835171966,0.12762762762762764,0.04535752109042024,0.10935524652338811,0.3793859649122807,0.1697742850444499,0.8498105406761169,0.8395543098449707,0.8446512818336487
usestrix__strix,0.15402843601895735,0.30757097791798105,0.20526315344795582,0.033764068361817424,0.08132530120481928,0.047717227076283814,0.14454976303317535,0.2886435331230284,0.19263157450058735,0.7931555509567261,0.7602142095565796,0.7763355374336243
nv-tlabs__vipe,0.17575187969924813,0.30960264900662254,0.22422061888147046,0.04855321235899951,0.09446564885496184,0.06413993720624332,0.16729323308270677,0.2947019867549669,0.21342925197499565,0.8275390863418579,0.8363234996795654,0.831908106803894
kayba-ai__agentic-context-engine,0.11605415860735009,0.3821656050955414,0.1780415394531519,0.021240077236644495,0.09528392685274302,0.03473683912417446,0.10783365570599614,0.35509554140127386,0.16543026348876025,0.8390151262283325,0.8215357065200806,0.8301833868026733
hotheadhacker__seedbox-lite,0.15953868332532437,0.3905882352941176,0.2265438375742266,0.03622708195272808,0.10499359795134443,0.0538676263383054,0.1489668428640077,0.36470588235294116,0.21153189625726992,0.8374941945075989,0.8067041039466858,0.8218108415603638
karpathy__reader3,0.1640378548895899,0.32298136645962733,0.21757321728987597,0.023076923076923078,0.05405405405405406,0.03234500928357158,0.15772870662460567,0.3105590062111801,0.2092050164530559,0.8196013569831848,0.8302092552185059,0.8248711824417114
heyitsnoah__claudesidian,0.17013766325450053,0.4800796812749004,0.251237942448316,0.043093607305936074,0.162891046386192,0.06815616911277687,0.15743028591599012,0.4442231075697211,0.23247328255777647,0.8270571827888489,0.8236681222915649,0.8253591656684875
BayramAnnakov__claude-reflect,0.20763022743947177,0.3176206509539843,0.25110913452715045,0.04429717474712243,0.07664453832226917,0.056144999778547616,0.19809244314013205,0.30303030303030304,0.23957408572502092,0.812090277671814,0.7559612989425659,0.7830212116241455
jmuncor__tokentap,0.12803030303030302,0.43333333333333335,0.1976608151923669,0.030825688073394496,0.13725490196078433,0.0503446179217247,0.12196969696969696,0.4128205128205128,0.1883040900461681,0.8240036964416504,0.7646293640136719,0.7932069301605225
JMS1717__8mb.local,0.2722250125565043,0.2904608788853162,0.28104744120696284,0.06634016028495103,0.07974310944607975,0.07242677836934673,0.25113008538422904,0.2679528403001072,0.2592688568149483,0.852554440498352,0.8128150701522827,0.8322106003761292
jenish-sojitra__JSAnalyzer,0.13904899135446686,0.41956521739130437,0.20887445513530484,0.02937013446567587,0.11690140845070422,0.04694569814797656,0.13328530259365995,0.40217391304347827,0.2002164464772962,0.8505085706710815,0.8424705266952515,0.8464704751968384
mistralai__mistral-vibe,0.23059490084985837,0.3314332247557003,0.27196792031965894,0.06668356997971603,0.10656401944894651,0.08203368210212555,0.22492917847025495,0.32328990228013027,0.26528566171625095,0.8167674541473389,0.8115377426147461,0.8141441941261292
simonw__claude-code-transcripts,0.31086142322097376,0.5858823529411765,0.4061990166774667,0.12869565217391304,0.27373612823674476,0.1750788600027896,0.2883895131086142,0.5435294117647059,0.3768352320118877,0.9060298204421997,0.9156225919723511,0.9108009338378906
